,0
Qnt_abandono,0.1703532513806738
plan_type,0.08951360959937361
prezao_diario,0.06536366642287739
sum_services,0.06497124642733622
sos_rec_5,0.06257573653327096
sum_recharge,0.05367679342478168
services_frequency,0.052921510751901296
inter_avulsa,0.048582183168623824
recharge_frequency,0.047549297783458046
idade_cliente,0.04612084341234775
clube,0.04272250804240849
prezao_semanal,0.039507321965988405
regional,0.03056175670924355
rec_online_15,0.02895514676063092
rec_online_10,0.02650811830835583
servicos_operadora,0.025371889223620384
rec_online_20_b2,0.024756590866293036
entretenimento,0.01678189681884449
rec_online_13,0.012176090480674574
rec_online_30_b4,0.011444543936288078
prezao_mensal,0.011179084761292027
chip_pre_rec_10,0.009411344229328305
pct_internet_mensal,0.007029781785515919
rec_online_50_b8,0.004652108093159146
rec_online_35_b5,0.004490637351116666
rec_online_40_b6,0.002823041762595531
