regional;idade_cliente;plan_type;Qnt_abandono;sum_recharge;recharge_frequency;rec_online_10;rec_online_35_b5;rec_online_15;sos_rec_5;rec_online_20_b2;chip_pre_rec_10;rec_online_13;rec_online_50_b8;rec_online_30_b4;rec_online_40_b6;sum_services;services_frequency;inter_avulsa;clube;entretenimento;pct_internet_mensal;prezao_diario;prezao_mensal;prezao_semanal;servicos_operadora;venda
0.75;0.79;1.0;0.06666666666666667;0.03971756398940865;0.045454545454545456;0.09090909090909091;0.0;0.0;0.0625;0.0;0.0;0.0;0.0;0.0;0.0;0.014256602204200455;0.035794183445190156;0.0;0.012903225806451613;0.225;0.0;0.029850746268656716;0.0;0.0;0.027777777777777776;0
0.375;0.46;0.0;0.2;0.11473962930273611;0.08181818181818182;0.12121212121212122;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0748014140153878;0.011185682326621923;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;1
0.5;0.21;1.0;0.06666666666666667;0.02206531332744925;0.01818181818181818;0.06060606060606061;0.0;0.0;0.020833333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.013316697858182572;0.01342281879194631;0.0044742729306487695;0.0;0.0;0.0;0.029850746268656716;0.0;0.0;0.027777777777777776;0
0.875;0.36000000000000004;1.0;0.13333333333333336;0.017652250661959402;0.0;0.0;0.0;0.0;0.0;0.034482758620689655;0.0;0.0;0.0;0.0;0.0;0.0071366188396756085;0.008948545861297539;0.011185682326621923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0.375;0.34;1.0;0.0;0.03089143865842895;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02909544603867748;0.0;0.0;0.0;0.0;0.0;0.0;0.05555555555555555;0.0;0.0;0
0.5;0.01;1.0;0.4;0.03971756398940865;0.01818181818181818;0.0;0.0;0.0;0.020833333333333332;0.06896551724137931;0.0;0.0;0.0;0.0;0.0;0.03149095446038677;0.026845637583892617;0.0022371364653243847;0.0;0.0;0.0;0.08208955223880597;0.05555555555555555;0.0;0.0;1
1.0;0.01;1.0;0.0;0.017652250661959402;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016618839675608232;0.0;0.0;0.0;0.0;0.0;0.0;0.05555555555555555;0.0;0.0;0
0.375;0.01;1.0;0.9333333333333333;0.02268314210061783;0.01818181818181818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00330214181742566;0.0022371364653243847;0.0022371364653243847;0.0;0.0;0.0;0.007462686567164179;0.0;0.0;0.0;1
1.0;0.01;0.0;0.2;0.01323918799646955;0.00909090909090909;0.030303030303030304;0.0;0.0;0.020833333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.011012684549802454;0.017897091722595078;0.020134228187919462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1.0;0.35000000000000003;1.0;0.0;0.0441306266548985;0.02727272727272727;0.06060606060606061;0.0;0.05555555555555555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.031499272197962155;0.02237136465324385;0.0;0.0;0.0;0.0;0.05223880597014925;0.0;0.07692307692307693;0.0;0
0.375;0.01;1.0;0.06666666666666667;0.02268314210061783;0.01818181818181818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009923060927427738;0.011185682326621923;0.0044742729306487695;0.0;0.0;0.0;0.029850746268656716;0.0;0.0;0.0;1
1.0;0.46;1.0;0.06666666666666667;0.088261253309797;0.054545454545454536;0.030303030303030304;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07940112289457267;0.035794183445190156;0.022371364653243846;0.0;0.0;0.0;0.0;0.0;0.1794871794871795;0.0;0
0.5;0.36000000000000004;1.0;0.13333333333333336;0.09267431597528686;0.054545454545454536;0.0;0.0;0.0;0.0625;0.06896551724137931;0.0;0.0;0.0;0.08333333333333333;0.0;0.06284882511956746;0.07606263982102908;0.0022371364653243847;0.0064516129032258064;0.0;0.0;0.19402985074626866;0.0;0.0;0.16666666666666666;1
0.375;0.35000000000000003;0.0;0.26666666666666666;0.008826125330979701;0.0;0.030303030303030304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007427739654813891;0.011185682326621923;0.013422818791946308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
